k_index,kx,ky,k_distance,band1,band2,band3,band4,band5,band6,band7,band8
0,0,0,0,0.17982047121463093,0.41863133609862446,0.6248034627953731,0.7746074246755837,0.9237530941089276,1.0934297969462716,1.205031086639607,1.3549340396281597
1,0.08333333333333333,0,0.08333333333333333,0.43489396040155637,0.6216130042415353,0.7762373216014463,0.9234821775188403,1.0941706916455347,1.2058629806665402,1.357132259629841,1.4898687267675244
2,0.16666666666666666,0,0.16666666666666666,0.37925547572565604,0.5294903729763589,0.6888582903280647,0.8576008459285358,0.9808111624885448,1.1496258168988687,1.2746372882912207,1.4064812690100992
3,0.25,0,0.25,0.07729368806166395,0.4797383038537038,0.6326649889083393,0.7450151372921803,0.9227000243599109,1.0515667174474048,1.1854843315694732,1.3210793441155468
4,0.3333333333333333,0,0.3333333333333333,0.2744083206402655,0.5306974562793643,0.6743766770909391,0.7741146309609006,0.9434071868072192,1.085477261403296,1.2047136700440726,1.3376540924091775
5,0.4166666666666667,0,0.4166666666666667,0.17097162130423416,0.5030650238471454,0.6108234311946759,0.768392438262061,0.9253587644461787,1.0569650529678076,1.1935050479579319,1.3200550323418416
6,0.5,0,0.5,0.15859406072204357,0.5090300488847237,0.631408897125724,0.7877533340701101,0.9231756919038764,1.06516401636004,1.2023100925989838,1.331127384116691
7,0.4722222222222222,0.05555555555555555,0.5621129993749941,0.10306846156613818,0.4730728289623451,0.5925578326611298,0.7576611714648143,0.9210242814479775,1.0507750227262658,1.1923479046005194,1.3225046597654997
8,0.4444444444444445,0.1111111111111111,0.6242259987499883,0.21281506278906526,0.5402014674113699,0.6380430027028117,0.7640402608958033,0.9365095606477288,1.069649697541787,1.2031630296179334,1.339028225488423
9,0.41666666666666663,0.16666666666666666,0.6863389981249824,0.23161686677569557,0.5055011158848866,0.6702793163154441,0.774025551209169,0.9341458000251717,1.075448467857138,1.2051360773566204,1.3499547248308874
10,0.3888888888888889,0.2222222222222222,0.7484519974999766,0.060109261236617556,0.4134010346586898,0.5848098271407612,0.7190125577878945,0.887717478985115,1.028193737172933,1.177604957696714,1.3100481305278953
11,0.3611111111111111,0.2777777777777778,0.8105649968749707,0.16619107982572517,0.31028640302439436,0.5697201367183934,0.6887182823216003,0.8741726848159601,1.0137428862671978,1.1692317280126039,1.291240133733848
12,0.3333333333333333,0.3333333333333333,0.8726779962499649,0.16480469331258443,0.35774128721734877,0.5784865225941971,0.7333840083439784,0.8918794762458113,1.0342911950903961,1.1855653869235854,1.310839199096555
13,0.2777777777777778,0.2777777777777778,0.9512454163818035,0.1816819906619428,0.36465752507072263,0.5757700436306018,0.7309631638752946,0.8897435485941274,1.0310208986002982,1.178867780104176,1.3075247597477295
14,0.22222222222222224,0.22222222222222224,1.029812836513642,0.286232875790107,0.5284825466377958,0.6721691466779819,0.8553909451006984,0.9976585676260896,1.1461558349444498,1.274317211811814,1.4046602635970262
15,0.16666666666666666,0.16666666666666666,1.1083802566454808,0.32801985762179275,0.5283744573142345,0.6704299017331989,0.8479808681911883,0.9892617413128328,1.1380765065026677,1.268395973406136,1.395249142248015
16,0.11111111111111112,0.11111111111111112,1.1869476767773195,0.3026434735974528,0.43645888653379156,0.6313821901969199,0.8034038223430456,0.9503731055440384,1.1118626501396707,1.2340850215414616,1.3714103652053526
17,0.05555555555555554,0.05555555555555554,1.2655150969091582,0.05409191905605038,0.41202556488098147,0.6093813736126951,0.7658877041090989,0.9211701986700718,1.0885855244851388,1.2016976968958146,1.3530897248976337
18,0,0,1.344082517040997,0.17982047121463093,0.41863133609862446,0.6248034627953731,0.7746074246755837,0.9237530941089276,1.0934297969462716,1.205031086639607,1.3549340396281597
